epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;490322;145593;258092;151571;51585;34027;30431;17965;156599;449624;13031;3;3;703
2;920854;11678;132997;126892;25022;31297;20703;10921;217374;714212;195789;609983;609983;3961
3;135478;121966;132411;129668;15793;21486;8518;2851;285642;540496;257641;9199;9199;89199
4;17941;122399;131494;130331;6211;3397;9459;3811;268562;1336;281391;999756;999756;999756
5;223362;11724;121021;126942;32763;28775;2474;10538;231998;324176;203062;999566;999566;999566
6;267252;113148;114246;123638;47275;36025;2429;10589;193269;464807;161557;999322;999322;999322
7;311018;110864;113493;124197;31795;40109;34297;15196;208233;231927;188869;999023;999023;999023
8;354894;108879;110106;121502;51759;67469;65244;39554;141221;139885;128886;998671;998671;998671
9;398937;107911;108534;120592;58203;64325;6264;39291;13032;134655;114564;998264;998264;998264
10;442769;105357;103617;120069;56838;52071;5454;24584;168471;175539;14725;997803;997803;997803
11;486565;10167;101743;117749;52711;47926;44876;28924;146829;203188;124933;997288;997288;997288
12;530277;102158;101369;118027;7047;58996;63906;41522;126427;139211;110387;99672;99672;99672
13;574182;101148;101074;117048;56129;56958;58156;38845;122672;160827;111345;996097;996097;996097
14;618077;98798;96997;115154;5926;61256;6637;41756;124994;140305;112059;99542;99542;99542
15;662085;96913;94629;115016;74582;64398;73718;48584;118304;105451;103398;99469;99469;99469
16;706031;9589;92759;114329;67203;691;72104;47852;115618;10198;101928;993906;993906;993906
17;749884;96913;90552;11449;68204;69222;7261;46593;121531;114988;106032;993068;993068;993068
18;793682;95037;88826;113354;68589;6699;72792;4747;118635;106585;102171;992177;992177;992177
19;837519;95355;92593;114766;6983;66996;71058;47032;120924;107017;107232;991232;991232;991232
20;881266;92557;89348;113051;73491;65572;71568;47971;115479;107864;102264;990234;990234;990234
21;925023;91331;86636;112778;7184;64996;70883;47259;119768;107284;111253;989183;989183;989183
22;968784;94621;89338;112915;82286;66155;75365;49894;112494;96909;100369;988079;988079;988079
23;101274;92013;85631;112647;71332;70824;73446;51524;104065;10282;95065;986922;986922;986922
24;105671;917;85677;111816;76661;69373;76459;52913;109133;91191;98344;985711;985711;985711
25;11006;91032;83436;111227;79022;73043;77978;54081;102183;8415;94146;984449;984449;984449
26;114455;9087;83894;111303;64411;6422;69071;45901;111819;12452;102862;983133;983133;983133
27;118826;90002;83265;11158;72698;72178;7466;51166;108621;101397;98888;981765;981765;981765
28;123203;90207;8483;111368;79464;71431;80092;5537;105779;86061;94636;980345;980345;980345
29;127613;88721;82131;110311;78178;71374;79176;5608;103154;91227;95585;978873;978873;978873
30;132001;88527;80388;110014;71294;60603;69434;4618;115555;118422;101551;977349;977349;977349
31;136378;88077;80353;109504;81296;69227;78316;56614;9528;7944;91199;975773;975773;975773
32;140769;88855;81582;110208;73606;71412;7455;53868;100473;90371;93943;974145;974145;974145
33;145142;88476;79174;109877;68833;69819;74912;51153;110511;89373;97329;972466;972466;972466
34;149516;86116;77659;109232;71553;76703;78629;56196;101728;83234;95216;970736;970736;970736
35;153894;87789;78912;109518;77757;6621;76652;55181;99094;89768;93835;968955;968955;968955
36;158278;87654;78434;109796;75464;67958;7341;52152;1066;95699;97544;967122;967122;967122
37;162651;85688;76893;109221;7886;69019;76389;54642;99358;88215;91555;965239;965239;965239
38;167036;87277;78742;109509;81262;70442;79829;56392;98185;83893;92057;963306;963306;963306
39;171421;84826;77914;10842;70594;74886;78987;54645;99569;87009;91105;961322;961322;961322
40;175793;82514;73929;107118;78384;75705;80684;57694;98968;80651;93584;959289;959289;959289
41;180179;85474;7543;108261;82204;70985;78397;56424;101389;96609;93494;957205;957205;957205
42;184555;83081;76748;108622;84836;68109;79115;56157;99629;83879;90593;955072;955072;955072
43;188934;84881;75219;108711;7853;71588;79475;53202;110043;85292;95133;952889;952889;952889
44;193317;83657;73266;107752;80192;7166;79552;56441;100929;79133;93697;950658;950658;950658
45;197696;8221;72093;107868;81682;71507;80356;57096;97533;80986;90351;948377;948377;948377
46;202073;82278;73891;106945;7285;77332;78623;57341;93996;83032;90412;946048;946048;946048
47;206464;82333;72268;107297;7455;72202;77022;55132;98598;88195;94248;943671;943671;943671
48;21084;82484;73965;107079;78807;75618;81026;57124;101943;82584;94186;941245;941245;941245
49;215218;80136;70918;106386;85195;69489;80716;59132;93428;76355;89461;938772;938772;938772
50;219618;83805;73389;107678;76834;6878;76526;53284;105799;94925;98501;936251;936251;936251
51;223995;80035;70603;106108;80272;73416;79879;57479;95697;79072;92028;933683;933683;933683
52;228375;83317;72226;107092;77808;73051;79624;5737;9574;79884;91416;931067;931067;931067
53;232752;80365;69623;106496;79957;71058;78936;56759;94623;82868;9221;928405;928405;928405
54;237135;81647;70313;106121;77202;75378;78766;57843;94928;8016;89684;925697;925697;925697
55;241517;81716;70664;106589;81301;72074;79528;56859;98045;81156;93073;922942;922942;922942
56;245898;79498;70436;105462;79596;72775;79171;59056;94834;80503;91055;920142;920142;920142
57;250277;80116;71151;106468;71204;69836;75515;53803;100204;91022;93833;917296;917296;917296
58;254646;80646;70229;105967;79915;70081;79245;57045;101277;81816;94188;914405;914405;914405
59;259022;80778;68861;106224;73288;72107;76731;54878;97262;88153;90879;911469;911469;911469
60;263395;78331;68072;105767;74113;75122;80606;60021;9597;79975;9134;908488;908488;908488
61;267782;80692;68826;105994;75655;74607;80244;57147;100343;82234;95354;905463;905463;905463
62;272159;79771;66826;105622;74402;74338;79574;57605;94524;81561;91758;902395;902395;902395
63;276524;78371;67884;105889;84187;69886;78328;57633;99456;86606;9526;899282;899282;899282
64;280896;79566;67788;104393;77405;73915;81254;59541;9548;75054;90878;896127;896127;896127
65;28527;78677;66681;105663;82499;68889;78357;56012;99597;85154;93943;892928;892928;892928
66;289657;79619;67841;105312;88755;70075;82431;59277;93877;78841;90727;889687;889687;889687
67;294044;79274;68851;105182;82457;70495;79138;58567;89171;72651;88332;886404;886404;886404
68;29842;76066;6448;10404;7442;7761;80803;6;92103;76941;90275;883079;883079;883079
69;302806;77413;66149;10548;76848;75823;82681;59759;92961;79281;87069;879713;879713;879713
70;307191;78559;67662;105549;82929;70758;78605;57269;94025;78451;87436;876305;876305;876305
71;311573;77703;64196;104875;77893;73596;79615;58465;92067;73724;91183;872857;872857;872857
72;315958;78472;66754;104754;79777;734;80555;5927;92767;73075;89788;869368;869368;869368
73;320333;77911;64728;104569;79799;76386;81125;59657;95903;75429;91575;865839;865839;865839
74;324707;78753;66696;104966;84296;70297;78919;5847;95506;78125;92556;862271;862271;862271
75;329089;75839;63986;10394;77322;74526;79896;59263;93684;78657;89709;858664;858664;858664
76;333467;76078;63417;104426;77728;74308;80978;58617;97169;77063;91965;855018;855018;855018
77;337851;75723;64254;103527;76416;77241;80713;58603;94836;76902;90233;851333;851333;851333
78;342232;74352;62962;103636;79753;75512;80271;58948;95228;76027;8922;847611;847611;847611
79;346616;75663;63368;104284;81581;74249;80943;59403;96676;77425;92627;843851;843851;843851
80;350996;75305;62728;102706;79452;75883;81532;59377;92238;74346;88326;840054;840054;840054
81;355376;74788;61116;102449;78569;77297;82193;61886;89273;70756;87169;83622;83622;83622
82;359782;75975;61503;103392;76551;75633;81273;60242;95578;81267;92861;832349;832349;832349
83;364165;75964;63145;103599;77247;77715;82854;61221;92258;73968;89278;828443;828443;828443
84;36855;75603;62112;103252;79354;76932;81064;59321;95484;71457;92763;824502;824502;824502
85;372937;75942;63151;103737;78032;77563;81065;58943;93572;73357;89325;820525;820525;820525
86;37732;71994;59881;102626;84747;72804;81685;59683;914;73853;88091;816514;816514;816514
87;381696;73051;59089;102759;79866;72657;79222;58012;9627;77678;90951;812468;812468;812468
88;386078;74666;61462;10246;8314;70281;80216;60153;90879;72967;85264;808389;808389;808389
89;39047;74334;60416;10263;77042;76101;81185;59908;93075;72028;87953;804277;804277;804277
90;394852;74241;62671;102962;76329;77197;80732;59664;97049;76892;9158;800131;800131;800131
91;399236;74132;61642;10298;77293;80302;81659;59412;9378;74523;89742;795954;795954;795954
92;40362;739;62105;102535;82887;74139;81587;59583;96706;71465;92586;791744;791744;791744
93;407999;73985;6005;102299;81793;76985;82092;59956;95224;72688;9387;787503;787503;787503
94;412391;73474;61409;102431;78202;74649;79815;58969;95774;77806;92558;783231;783231;783231
95;416772;74451;60059;103089;7826;76661;81633;59778;93183;74297;91475;778929;778929;778929
96;421177;73212;59563;102255;77155;75563;79681;59139;9505;81678;92105;774596;774596;774596
97;42556;73201;59286;102123;76223;78029;80588;59856;91905;7354;89831;770234;770234;770234
98;429942;72393;58489;101996;78775;77408;81197;60265;93282;75656;89362;765843;765843;765843
99;434321;7399;59193;102742;82493;73717;81251;60189;90473;72508;88957;761423;761423;761423
100;438712;73042;60088;102301;78643;74927;79949;59391;93139;7262;88066;756976;756976;756976
101;443093;72425;57649;102487;77084;76866;80149;59659;91203;69845;88905;7525;7525;7525
102;447476;72412;58927;101993;79917;76408;81176;6004;92452;73046;89442;747997;747997;747997
103;451854;70496;57629;101213;81437;72278;79413;58492;94754;77257;90168;743468;743468;743468
104;456237;71254;57131;101072;76938;76304;79902;59309;92684;75231;89995;738913;738913;738913
105;460624;70966;56682;101408;81871;7394;80789;59406;9508;76246;91179;734332;734332;734332
106;465011;70172;57104;101098;80971;75918;80837;60804;87665;69573;86889;729725;729725;729725
